TERM,COURSE,ENRL,MEDIAN
16F,SART-025-01,13,A
16F,SART-029-01,10,A-
16F,SART-065-01,11,A
16F,SART-17.15-01,16,A
16F,SOCY-001-01,82,B
16F,SOCY-015-01,25,B+
16F,SOCY-023-01,35,A-
16F,SOCY-033-01,27,B
16F,SOCY-035-01,26,B+
16F,SOCY-042-01,22,A-
16F,SOCY-066-01,30,B+
16F,SOCY-49.23-01,23,A-
16F,SOCY-79.09-01,14,A-
16F,SPAN-001-01,72,A-
16F,SPAN-001-02,72,A-
16F,SPAN-001-03,72,A-
16F,SPAN-001-04,72,A-
16F,SPAN-001-05,72,A-
16F,SPAN-002-01,98,A-
16F,SPAN-002-02,98,A-
16F,SPAN-002-03,98,A-
16F,SPAN-002-04,98,A-
16F,SPAN-002-05,98,A-
16F,SPAN-002-06,98,A-
16F,SPAN-003-01,70,B+
16F,SPAN-003-02,70,B+
16F,SPAN-003-03,70,B+
16F,SPAN-003-04,70,B+
16F,SPAN-009-01,54,A-
16F,SPAN-009-02,54,A-
16F,SPAN-009-03,54,A-
16F,SPAN-015-01,10,A-
16F,SPAN-020-01,31,A
16F,SPAN-020-02,31,A
16F,SPAN-020-90,13,A-
16F,SPAN-021-90,13,A-
16F,SPAN-024-90,13,A-
16F,SPAN-032-01,14,A-
16F,SPAN-032-90,13,A-
16F,SPAN-034-90,13,A-
16F,SPAN-036-90,13,A
16F,SPAN-45.02-01,16,A /A-
16F,SPAN-70.01-01,16,A-
16F,SPAN-77.04-01,10,A-
16F,SPEE-037-01,14,A
16F,SPEE-20.01-01,14,A-
16F,SPEE-20.03-01,10,A /A-
16F,THEA-015-01,24,A-
16F,THEA-026-01,15,A
16F,THEA-030-01,16,A
16F,THEA-030-02,16,A /A-
16F,THEA-042-01,11,A-
16F,THEA-090-01,10,A
16F,THEA-10.24-01,36,B+
16F,TUCK-002-01,110,B+
16F,TUCK-002-02,110,B+
16F,WGSS-010-01,24,A-
16F,WGSS-010-02,20,A-
16F,WGSS-010-03,19,A
16F,WGSS-010-04,22,A
16F,WGSS-080-01,16,A
16F,WGSS-18.01-01,17,A
16F,WGSS-22.01-01,28,A-
16F,WGSS-31.04-01,35,B+
16F,WGSS-40.01-01,20,A
16F,WGSS-41.04-01,15,A-
16F,WGSS-43.03-01,15,A-
16F,WGSS-66.05-01,12,A-
16F,WRIT-002-01,14,A-
16F,WRIT-002-02,13,A-
16F,WRIT-002-03,15,A-
16F,WRIT-002-04,13,A-
16F,WRIT-002-05,15,A
16F,WRIT-002-06,14,A-
16F,WRIT-002-07,13,A-
16F,WRIT-002-08,15,A-
16F,WRIT-005-01,15,A-
